,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,East London,ZA,62.64,overcast clouds,-33.0153,27.9116,Tu Casa
5,Batemans Bay,AU,65.1,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
7,Atuona,PF,76.39,scattered clouds,-9.8,-139.0333,Villa Enata
8,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
13,Rikitea,PF,71.42,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Rajauri,IN,67.93,clear sky,33.3833,74.3,Hotel Ashoka
16,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
17,Falconara Marittima,IT,62.1,clear sky,43.6233,13.4031,Touring Hotel
21,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
25,Shimoda,JP,84.11,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
28,Hithadhoo,MV,82.06,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Castro-Urdiales,ES,61.99,scattered clouds,43.3829,-3.2204,Hotel Las Rocas Playa
33,Guerrero Negro,MX,69.6,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
36,Hasaki,JP,84.22,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
41,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
43,Paita,PE,63.09,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
44,Sao Filipe,CV,79.07,light rain,14.8961,-24.4956,Hotel Xaguate
45,Sao Miguel Do Araguaia,BR,84.63,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
47,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
49,Dzilam Gonzalez,MX,76.87,few clouds,21.2833,-88.9333,posadas
53,Mersing,MY,80.51,few clouds,2.4312,103.8405,Timotel Hotel
55,Kavaratti,IN,81.52,overcast clouds,10.5669,72.642,Green leaf
