,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,East London,ZA,-33.0153,27.9116,62.64,70,100,14.67,overcast clouds
1,Roald,NO,62.5833,6.1333,57.33,87,100,11.5,overcast clouds
2,Nanortalik,GL,60.1432,-45.2371,36.37,74,5,4.21,clear sky
3,Sisimiut,GL,66.9395,-53.6735,31.6,84,100,6.55,overcast clouds
4,Antofagasta,CL,-23.65,-70.4,58.28,75,25,4.14,scattered clouds
5,Batemans Bay,AU,-35.7167,150.1833,65.1,56,81,9.48,broken clouds
6,Busselton,AU,-33.65,115.3333,59.76,63,0,13.33,clear sky
7,Atuona,PF,-9.8,-139.0333,76.39,78,28,19.46,scattered clouds
8,Mahebourg,MU,-20.4081,57.7,70.25,78,20,6.91,few clouds
9,Ketchikan,US,55.3422,-131.6461,52.88,78,99,4.29,overcast clouds
10,Bredasdorp,ZA,-34.5322,20.0403,49.89,89,0,6.15,clear sky
11,Qaanaaq,GL,77.484,-69.3632,17.44,72,100,6.17,overcast clouds
12,Hambantota,LK,6.1241,81.1185,77.34,94,20,3.44,few clouds
13,Rikitea,PF,-23.1203,-134.9692,71.42,65,89,19.66,overcast clouds
14,Mataura,NZ,-46.1927,168.8643,45.82,91,99,8.68,overcast clouds
15,Rajauri,IN,33.3833,74.3,67.93,44,0,6.13,clear sky
16,Avarua,CK,-21.2078,-159.775,78.85,73,40,20.71,scattered clouds
17,Falconara Marittima,IT,43.6233,13.4031,62.1,64,2,4.61,clear sky
18,Sovetskiy,RU,61.3614,63.5842,45.41,98,100,4.61,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,46.06,66,0,3.44,clear sky
20,Bethel,US,41.3712,-73.414,49.05,86,100,8.05,overcast clouds
21,Souillac,MU,-20.5167,57.5167,70.18,78,20,6.91,few clouds
22,Albany,US,42.6001,-73.9662,49.68,80,100,2.73,overcast clouds
23,Belyy Yar,RU,53.6039,91.3903,26.49,86,96,0.0,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,54.91,58,96,1.99,overcast clouds
25,Shimoda,JP,34.6667,138.95,84.11,70,39,12.84,scattered clouds
26,Zhigansk,RU,66.7697,123.3711,28.69,82,99,12.24,overcast clouds
27,Nome,US,64.5011,-165.4064,43.16,90,100,10.27,light rain
28,Hithadhoo,MV,-0.6,73.0833,82.06,69,100,15.88,overcast clouds
29,Gari,RU,59.4307,62.3497,44.11,91,93,7.14,overcast clouds
30,Krutinka,RU,56.0055,71.5113,37.85,57,98,13.65,overcast clouds
31,Castro-Urdiales,ES,43.3829,-3.2204,61.99,90,46,3.2,scattered clouds
32,Nyurba,RU,63.2842,118.3319,29.03,63,61,7.7,broken clouds
33,Guerrero Negro,MX,27.9769,-114.0611,69.6,80,58,15.7,broken clouds
34,Chuy,UY,-33.6971,-53.4616,55.8,60,91,8.59,overcast clouds
35,Port Alfred,ZA,-33.5906,26.891,57.18,86,100,3.0,overcast clouds
36,Hasaki,JP,35.7333,140.8333,84.22,69,37,22.1,scattered clouds
37,Sterling,US,39.0062,-77.4286,48.72,91,100,7.0,light rain
38,Chokurdakh,RU,70.6333,147.9167,25.43,81,99,3.94,overcast clouds
39,Hobart,AU,-42.8794,147.3294,55.26,57,40,19.57,scattered clouds
40,Bluff,NZ,-46.6,168.3333,45.03,86,100,19.95,light rain
41,Georgetown,MY,5.4112,100.3354,83.89,82,20,5.75,few clouds
42,Port Elizabeth,ZA,-33.918,25.5701,59.31,84,0,17.27,clear sky
43,Paita,PE,-5.0892,-81.1144,63.09,85,76,14.18,broken clouds
44,Sao Filipe,CV,14.8961,-24.4956,79.07,80,100,8.5,light rain
45,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,84.63,44,92,3.85,overcast clouds
46,Evensk,RU,61.95,159.2333,38.32,49,70,14.99,broken clouds
47,Hilo,US,19.7297,-155.09,83.28,88,100,11.5,overcast clouds
48,Pareora,NZ,-44.4871,171.2132,59.18,80,100,9.71,overcast clouds
49,Dzilam Gonzalez,MX,21.2833,-88.9333,76.87,76,19,7.27,few clouds
50,Linjiang,CN,41.8069,126.9078,46.69,47,7,6.29,clear sky
51,Opuwo,NA,-18.0607,13.84,66.0,42,27,4.36,scattered clouds
52,Barrow,US,71.2906,-156.7887,25.12,87,34,9.46,scattered clouds
53,Mersing,MY,2.4312,103.8405,80.51,83,20,4.61,few clouds
54,Norilsk,RU,69.3535,88.2027,33.42,90,100,21.12,light snow
55,Kavaratti,IN,10.5669,72.642,81.52,78,100,14.74,overcast clouds
56,Kalakamati,BW,-20.5929,27.3121,68.4,26,0,8.05,clear sky
57,Pedernales,DO,18.0384,-71.744,82.11,78,91,1.54,overcast clouds
58,Kelso,US,46.1468,-122.9084,72.72,78,0,8.05,clear sky
59,Igarka,RU,67.4667,86.5833,30.6,97,100,23.22,snow
60,Leningradskiy,RU,69.3833,178.4167,31.55,91,100,5.79,light snow
61,Sitka,US,57.0531,-135.33,52.39,78,97,2.77,overcast clouds
62,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,0.0,broken clouds
63,Keffi,NG,8.8486,7.8736,70.65,93,100,2.57,light rain
64,Ilulissat,GL,69.2167,-51.1,16.9,82,29,6.22,scattered clouds
